تاریخ,شروع,پایان,شهر,آدرس
۱۴۰۴/۰۵/۱۷,15:00,17:00,بابل,8- میدان کشوری تا کارگر، قسمتی از بحرارم شرقی، کوچه های (سرداران 2 تا 18)، (ارشاد 2 تا 10)، ورودی شهرک آزادگان و هشت متری، (پاسداران 7 تا 17)
۱۴۰۴/۰۵/۱۷,15:00,17:00,بابل,11- روبروی بیمارستان شهید بهشتی، کوچه های (دانش 4 تا 10) و دانشجوی 26، محله کتی غربی
۱۴۰۴/۰۵/۱۷,15:00,17:00,بابل,82- از شهر مرزیکلا تا باغ پهلوان گنج افروز، درونکلای شرقی، فولاد کلا،  هلیدشت،  طلوت، پایین گنج افروز( خشک دشت، اسبوکلا، کمانگر کلا، دومیرکلا،  معلم کلا، کلاگر محله، سادات محله) و جنب پل چاری
۱۴۰۴/۰۵/۱۷,15:00,17:00,بابل,67- کرکنار، یزدان آباد، شانه تراش ، شاه سیب کلا، عالی زمین،  معلم کلا و قسمتی از قمی کلا، شوبکلا
۱۴۰۴/۰۵/۱۷,15:00,17:00,بابل,68- شهر خشرودپی تا کارخانه آسفالت، مقریکلا، پنبه جار، تسکا، کاردیکلای غربی، کامی کلا، پلنگ دره، شهنه پشته، فریدون کلا تا انجیلک، بورا، ولیک، افراسیاب کلا، پازمین، لمسوکلا، موزکتی، مچکتی، پولادسی، ازارسی
۱۴۰۴/۰۵/۱۷,15:00,17:00,بابل,روستاي سرحمام - سعيدكلا - سپاه محله - كاسگر محله - آقامحله - خيابان دانشجو - اطراف اداره گاز و كمربندي اطراف باغ انگور  -  اطراف مسجد نينوا و صنعت 1 و 2
۱۴۰۴/۰۵/۱۷,15:00,17:00,بابل,جاده بابلسر به بابل روستاهاي پايين نقيب - درزي نقيب - بالانقيب - فولادکلا - رکون - سادات محله - رضاکلا - اسي کلا - چوپانکلا - تاجدوله - پيچ قريشي
۱۴۰۴/۰۵/۱۷,15:00,17:00,بابل,روستاهاي گله کلا  -شمشيرمحله - مشهدي کلا - باريکلا - بوله کلا - ميانرود- درويش خيل - راه کلا و ني کلا و منطقه شهري حاجي کلاي رودبار و اميرکبير
۱۴۰۴/۰۵/۱۷,17:00,19:00,بابل,47- چهار راه شهدا تا چهار راه نواب ( اشرفی 2 تا 22 و 1 تا 27 )  اشرفی10 (شیخ کبیر 24 تا 46 ) و (ایثار 21 تا 35) و حوالی مسجد محدثین
۱۴۰۴/۰۵/۱۷,17:00,19:00,بابل,7- میدان کشوری تا انتهای کاظم بیگی، اداره دارایی،  کوی پلیس، کوچه های (بوستان 2، 4 و 6 و 24 تا 30 و 23 تا 27) و شهرک بهمن
۱۴۰۴/۰۵/۱۷,17:00,19:00,بابل,40- چهار راه شهربانی تا چهار راه گله محله و چهار راه گله محله تا کشتار گاه کوچه های(  نیایش 3 تا 11 و 2 تا 12 ) و (اریحی 1 تا  31) و محله درزی کتی (انقلاب 1 تا 20)
۱۴۰۴/۰۵/۱۷,17:00,19:00,بابل,3- میدان کشوری از (سرداران 1 تا 11)،  محله دارالشفاه تا چهار راه گلشن (کوچه های نصیرایی)، محله شاهکلا و کوچه های امامزاده یحیی تا سبزه میدان
۱۴۰۴/۰۵/۱۷,17:00,19:00,بابل,16- هوشنگ پوری (بسیج های 10 تا 20)، میدان بسیج تا چهار راه امیرکبیر، از (توحید 46 تا 66) و (توحید 41 تا 49) وکوچه صائمی و توحید 43 بسمت خیابان گل
۱۴۰۴/۰۵/۱۷,17:00,19:00,بابل,42- از چهار راه شهدا تا میدان کارگر سرداران 11 ( فرهنگ های 1 تا 15 و 2 تا 6 ) کوچه مسجد جامع تا اشرفی 3
۱۴۰۴/۰۵/۱۷,17:00,19:00,بابل,55- میدان مادر، حر 14، کوچه های (لاله 1 تا 14)، شهاب نیا کوچه های (حر 11 تا 25) و حر 8
۱۴۰۴/۰۵/۱۷,17:00,19:00,بابل,53- شهاب نیا (حر 6 تا 14)، از چهار راه گله محله (بهاران 12 تا 34 و 11 تا 29) پمپ بنزین ایستگاه آمل (بهاران 1 تا 3)، از میدان قاضی کتی تا بهاران 27 و قسمتی از شهرک اندیشه کوچه های اندیشه و شهرک ساحلی کوچه های ارین و ابتکار، بهاران 23 و محله برج بن
۱۴۰۴/۰۵/۱۷,17:00,19:00,بابل,29- کمربندی احمدچاله پی تا ورودی خیابان مصلی، تجنک، ورودی خیابان مصلی تا آخر آردکلا، زرگرمحله، طغان ، گردنبری، کلنگاه، نودهک، کریم کلا چهار محل، شهیدعبدالله، نمودارکلا، اسب شورپی، بیشه محله، پهناور
۱۴۰۴/۰۵/۱۷,17:00,19:00,بابل,32-از میدان فاضل تا فیضیه 10 ، فیضیه 14 شهرک سجاد، محله حیدرکلا(حیدر(17 تا39و 26تا 40) بلوار نژاد اکبر تا حاجی کلا از میدان شهید نجاریان تا میدان مددی  دانشگاه راه دانش، گلستان 9 تا تربیت معلم و پزشک قانونی
۱۴۰۴/۰۵/۱۷,17:00,19:00,بابل,10- دانش5 کوچه های شهید بابائی (دارایی سابق کوچه) و قسمتی از محله بحر ارم شرقی کوچه های کمیل وجنت و محله بحر ارم غربی کوچه های گلزار
۱۴۰۴/۰۵/۱۷,17:00,19:00,بابل,35- از میدان هادی نورزی تا انتهای روستای هریکنده و مناطق(شهرک بذری، گوهر دشت و علمدار و گرجی اباد جنوبی، قسمتی از میرودپشت )
۱۴۰۴/۰۵/۱۷,17:00,19:00,بابل,22- ابتدای پل حبیبی تا میدان گتاب، روستاهای  کلاگرمحله، دونه سر،  شیرسوار،  بالاسرست، کفشگرکلا،  بنگرکلا،  زعفران کلا، کاسمان کلا و شهرگتاب خیابان های فرهنگ و سنگ رود
۱۴۰۴/۰۵/۱۷,17:00,19:00,بابل,59- روستاهای متکه ، امین اباد جنوبی، کروکلا  (بالا و پایین)،  هلال کلا جنوبی، نوایی کلا، مصیر محله، اندی کلا، تاری محله
۱۴۰۴/۰۵/۱۷,17:00,19:00,بابل,21- شهرک امام، شهرک انقلاب، کمانگر کلا، کوچه جمال ، قسمتی از درزیکلا نصیرایی، شهرک شمال 1 و 2
۱۴۰۴/۰۵/۱۷,17:00,19:00,بابل,69- گری محله تا انتهای روستای ولیک، ادملا تا پل دیوا، شیاده، میاندره، کشتارگاه،  دولت رودبار و قسمتی از تشون وقسمتی از تهمتن کلا
۱۴۰۴/۰۵/۱۷,17:00,19:00,بابل,64- از ارشاد14 تا انتهای موزیرج  جنب سردخانه بزرگ بابل، ارشاد های زوج، قسمت جنوبی زرگر شهر سمت بخشداری، خلیل کلا، مناسکلا، چمازین، حاجی کلا، دهک و خردونکلا
۱۴۰۴/۰۵/۱۷,17:00,19:00,بابل,79- از شهر مرزیکلا تا شیردارکلا ،کاردکش، جاده لفور، روستاهای گاوانکلا، سید کلا،  قرآن تالار و کاردیکلا و جاده شیرگاه
۱۴۰۴/۰۵/۱۷,17:00,19:00,بابل,ضلع جنوبي كمربندي اميركلا از خيابان تيركاران تا ميدان مقريكلا  -كمال محله  - اطراف اتش نشاني - خيابان آب و فاضلاب - از روبروي پمپ بنزين حميديان بسمت ميدان مقري كلا و كوچه صنعتگران مقريكلا
۱۴۰۴/۰۵/۱۷,19:00,21:00,بابل,58- کمربندی احمدچاله پی تا روبروی بسیج مالک اشتر،  ورودی سپاه دانش تا ارچی، کارون، مرزبال، بصرا،  پیچاکلا، تلیگران و قادی کلا
۱۴۰۴/۰۵/۱۷,19:00,21:00,بابل,15- پارک نوشیروانی تا میدان سردار سلیمانی، (بسیج  1 تا 21) و (بسیج 2 تا 6)، خیابان وحدت تا مبلمان مرکزی، توحید 61 کوچه های حمزء، خیابان شریعتی از (معلم 2 تا 18)، خیابان گل، محله صد دستگاه،  روبروی پارک گل،حوالی پارک شادی
۱۴۰۴/۰۵/۱۷,19:00,21:00,بابل,30- جاده کیاکلا از میدان فاضل تا انتها حوزه بابل روستای کپورچال(شهرک کیا مهر و مهر دشت، اخوان، کلمدان، نخ کلا، سلیمان کلا، قائمیه، کپور چال) و از جاده قایمشهر محله استردیکلا تا ورودی جاده کیاکلا منصور کنده
۱۴۰۴/۰۵/۱۷,19:00,21:00,بابل,41- از چهار راه شهدا تا سنگ پل کوچه های( ایثار 2 تا 20 و 30 تا 25 )، قسمتی از کوچه معلوجی و پشت آزمایشگاه رازی
